Order,Family,Genus ,Species,n individuals,humerus,radius,femur,tibia,epoch
Artiodactyla,Agriochoeridae,Agriochoerus,antiquus,1,209,180,239,212,Oligocene
Artiodactyla,Entelodontidae,Archaeotherium,mortoni,1,257,233,271,212,Oligocene
Artiodactyla,Entelodontidae,Archaeotherium,latidens,1,360,330,400,330,Oligocene
Artiodactyla,Merycoidodontidae,Desmatochoerus,megalodon,1,172,149,203,175,Oligocene
Artiodactyla,Merycoidodontidae,Miniochoerus,affinis,2,117,93.5,123.5,116.5,Oligocene
Artiodactyla,Merycoidodontidae,Miniochoerus,gracilis,2,107.5,81.5,115.25,110.5,Oligocene
Artiodactyla,Merycoidodontidae,Mesoreodon,chelonyx,1,150,140,190,160,Oligocene
Artiodactyla,Merycoidodontidae,Eporeodon,occidentalis,1,176,154.5,199,175,Oligocene
Artiodactyla,Merycoidodontidae,Merycoidodon,culbertsoni,8,129.43,107.2,218.5,189.13,Oligocene
Artiodactyla,Merycoidodontidae,Merycoides,harrosonensis,2,155.5,129.75,168.75,155.75,Oligocene
Artiodactyla,Merycoidodontidae,Merychus,arenarum,2,125,118,142,142,Oligocene
Artiodactyla,Merycoidodontidae,Merycochoerus,chelydra,4,216.5,168,254,201.88,Oligocene
Artiodactyla,Merycoidodontidae,Merycochoerus,superbus,1,206,192,245,202,Oligocene
Artiodactyla,Merycoidodontidae,Merycochoerus,proprius,2,208.5,148,220.5,154,Oligocene
Artiodactyla,Camelidae,Stenomylus,gracilis,1,173,196.33,185,223.67,Oligocene
Artiodactyla,Camelidae,Stenomylus,hitchcocki,1,168,191,176,210,Oligocene
Artiodactyla,Camelidae,Poebrotherium,sp,1,135,150,160,170,Oligocene
Artiodactyla,Camelidae,Protoceras,celer,1,130,145,160,200,Oligocene
Perissodactyla,Rhinoceratdae,Subhyracodon,occidentalis,1,300,279,369,275,Oligocene
Perissodactyla,Rhinoceratdae,Trigonias,osborni,2,282.5,256.5,333,267,Oligocene
Perissodactyla,Hyracodontidae,Hyracodon,nebraskensis,1,208,217,327,273.5,Oligocene
Perissodactyla,Equidae,Mesohippus,bairdi,5,120.67,131.5,184.2,179.25,Oligocene
Perissodactyla,Equidae,Mesohippus,gidleyi,1,170,180,230,255,Oligocene
Perissodactyla,Equidae,Miohippus,sp,2,200,205,225,271.67,Oligocene
Perissodactyla,Amynodontidae,Metamynodon,planifrons,1,454,385,438,237,Oligocene
Perissodactyla,Rhinoceratdae,Menoceras,ariikarense,1,255,254,327,273.5,Oligocene
Artiodactyla,Hypertragulidae,Hypertragulus,calcaratus,1,71,58,82,95,Oligocene
Artiodactyla,Hypertragulidae,Hypisodis,sp,2,57,59,59.5,94,Oligocene
Artiodactyla,Camelidae,Michenia,sp,21,223.33,285.83,277,297.5,Miocene
Artiodactyla,Camelidae,Protolabis,sp,18,296,385.6,364.5,399.4,Miocene
Artiodactyla,Camelidae,Pliauchernia,magnifontis,1,218,260,265,277,Miocene
Artiodactyla,Camelidae,Procamelus,occidentalis,7,315,407.5,440,455,Miocene
Artiodactyla,Camelidae,Procamelus,grandis,4,330,436.25,470,480,Miocene
Artiodactyla,Camelidae,Stenomylus,sp,3,157.5,200,170,215,Miocene
Artiodactyla,Camelidae,Aepycamelus,robustus,4,450,710,515,660,Miocene
Artiodactyla,Antilocapridae,Paracosoryx,wilsoni,7,104,114.33,133,149.5,Miocene
Artiodactyla,Antilocapridae,Merycodus,sp,15,105.33,122.25,135,151,Miocene
Artiodactyla,Mochidae,Parablastomeryx,gregorii,1,145,149,186,218,Miocene
Perissodactyla,Equidae,Pseudhipparion,gratum,1,146,174,190,230,Miocene
Perissodactyla,Equidae,Pliohippus,interpolatus,4,222.5,265,305,290.5,Miocene
Perissodactyla,Equidae,Merychippus,sumani,1,170,190,210,250,Miocene
Perissodactyla,Equidae,Merychippus,sp,7,181.25,208.33,235,265,Miocene
Perissodactyla,Equidae,Nannipus,whitneyi,1,190,245,255,290,Miocene
Perissodactyla,Rhinoceratdae,Teleoceras,fossiger,22,310.83,229.38,430,215.56,Miocene
Perissodactyla,Rhinoceratdae,Aphelops,sp,13,334.29,313.33,492.25,312.5,Miocene
Perissodactyla,Rhinoceratdae,Diceraterium,cooki,1,250,250,310,270,Miocene
Artiodactyla,Antilocapridae,Texoceras,sp,7,116,136.33,152,175,Miocene
Perissodactyla,Chalicotheridae,Moropus,elatus,8,552.25,482.5,437.25,326,Miocene
Perissodactyla,Merycoidodontidae,Merycochoerus,magnus,1,202,151.5,236,178,Miocene